offline_datapoint_5 1686493242 2888,000
offline_datapoint_26 1686493242 594366464,000
offline_datapoint_14 1686493242 482140160,000
offline_datapoint_3 1686493242 8858615808,000
offline_datapoint_9 1686493242 210190336,000
offline_datapoint_25 1686493242 9807,000
offline_datapoint_19 1686493240 112,709
offline_datapoint_8 1686493240 9787,439
offline_datapoint_21 1686493242 210190336,000
offline_datapoint_1 1686493240 23,831
offline_datapoint_20 1686493242 4732297216,000
offline_datapoint_7 1686493242 7335489536,000
offline_datapoint_6 1686493240 0,750
offline_datapoint_12 1686493240 10,961
offline_datapoint_24 1686493240 5,713
offline_datapoint_13 1686493240 12260,712
offline_datapoint_18 1686493242 0,000
offline_datapoint_0 1686493240 13449,365
offline_datapoint_16 1686493240 1589,574
offline_datapoint_28 1686493240 0,768
offline_datapoint_17 1686493240 19,292
offline_datapoint_10 1686493240 99,005
offline_datapoint_29 1686493240 0,000
offline_datapoint_22 1686493240 7689,481
offline_datapoint_4 1686493240 0,008
offline_datapoint_11 1686493245 251845,000
offline_datapoint_5 1686493245 2892,000
offline_datapoint_26 1686493245 594513920,000
offline_datapoint_14 1686493245 482152448,000
offline_datapoint_3 1686493245 8869281792,000
offline_datapoint_9 1686493245 210325504,000
offline_datapoint_25 1686493245 9795,000
offline_datapoint_19 1686493243 17,339
offline_datapoint_8 1686493243 6613,507
offline_datapoint_21 1686493245 210325504,000
offline_datapoint_1 1686493243 3,060
offline_datapoint_20 1686493245 4741484544,000
offline_datapoint_7 1686493245 7345926144,000
offline_datapoint_6 1686493243 0,133
offline_datapoint_12 1686493243 1,909
offline_datapoint_24 1686493243 0,841
offline_datapoint_13 1686493243 3490,509
offline_datapoint_18 1686493245 0,000
offline_datapoint_0 1686493243 4099,742
offline_datapoint_16 1686493243 383,150
offline_datapoint_28 1686493243 0,597
offline_datapoint_17 1686493243 3,400
offline_datapoint_10 1686493243 99,362
offline_datapoint_29 1686493243 0,000
offline_datapoint_22 1686493243 15974,400
offline_datapoint_4 1686493243 0,006
offline_datapoint_11 1686493248 251845,000
offline_datapoint_5 1686493248 2894,000
offline_datapoint_26 1686493248 594612224,000
offline_datapoint_14 1686493248 483246080,000
offline_datapoint_3 1686493248 8876638208,000
offline_datapoint_9 1686493248 207613952,000
offline_datapoint_25 1686493248 9796,000
offline_datapoint_19 1686493246 10,945
offline_datapoint_8 1686493246 12115,551
offline_datapoint_21 1686493248 207613952,000
offline_datapoint_1 1686493246 4,312
offline_datapoint_20 1686493248 4745117696,000
offline_datapoint_7 1686493248 7345016832,000
offline_datapoint_6 1686493246 0,389
offline_datapoint_12 1686493246 4,802
offline_datapoint_24 1686493246 3,324
offline_datapoint_13 1686493246 7711,856
offline_datapoint_18 1686493248 0,000
offline_datapoint_0 1686493246 9196,780
offline_datapoint_16 1686493246 1890,236
offline_datapoint_28 1686493246 0,801
offline_datapoint_17 1686493246 42,123
offline_datapoint_10 1686493246 98,176
offline_datapoint_29 1686493246 2,985
offline_datapoint_22 1686493246 19705,953
offline_datapoint_4 1686493246 0,008
offline_datapoint_11 1686493251 251845,000
offline_datapoint_5 1686493251 2908,000
offline_datapoint_26 1686493251 594313216,000
offline_datapoint_14 1686493251 480538624,000
offline_datapoint_3 1686493251 8900853760,000
offline_datapoint_9 1686493251 207228928,000
offline_datapoint_25 1686493251 9774,000
offline_datapoint_19 1686493249 7,689
offline_datapoint_8 1686493249 22036,038
offline_datapoint_21 1686493251 207228928,000
offline_datapoint_1 1686493249 3,009
offline_datapoint_20 1686493251 4757860352,000
offline_datapoint_7 1686493251 7357329408,000
offline_datapoint_6 1686493249 0,871
offline_datapoint_12 1686493249 5,779
offline_datapoint_24 1686493249 3,222
offline_datapoint_13 1686493249 10330,688
offline_datapoint_18 1686493251 0,000
offline_datapoint_0 1686493249 12523,394
offline_datapoint_16 1686493249 652,563
offline_datapoint_28 1686493249 1,328
offline_datapoint_17 1686493249 26,744
offline_datapoint_10 1686493249 98,660
offline_datapoint_29 1686493249 8,023
offline_datapoint_22 1686493249 15616,000
offline_datapoint_4 1686493249 0,013
offline_datapoint_11 1686493254 251845,000
offline_datapoint_5 1686493254 2907,000
offline_datapoint_26 1686493254 594698240,000
offline_datapoint_14 1686493254 480608256,000
offline_datapoint_3 1686493254 8914317312,000
offline_datapoint_9 1686493254 207986688,000
offline_datapoint_25 1686493254 9768,000
offline_datapoint_19 1686493252 5,970
offline_datapoint_8 1686493252 12600,414
offline_datapoint_21 1686493254 207986688,000
offline_datapoint_1 1686493252 3,648
offline_datapoint_20 1686493254 4768718848,000
offline_datapoint_7 1686493254 7368957952,000
offline_datapoint_6 1686493252 0,043
offline_datapoint_12 1686493252 3,437
offline_datapoint_24 1686493252 1,771
offline_datapoint_13 1686493252 4442,152
