offline_datapoint_13 1686495529 251767,000
offline_datapoint_7 1686495529 2780,000
offline_datapoint_28 1686495529 601145344,000
offline_datapoint_16 1686495529 483794944,000
offline_datapoint_5 1686495529 8680972288,000
offline_datapoint_11 1686495529 218845184,000
offline_datapoint_27 1686495529 9901,000
offline_datapoint_21 1686495527 96,151
offline_datapoint_10 1686495527 28918,016
offline_datapoint_23 1686495529 218845184,000
offline_datapoint_3 1686495527 19,030
offline_datapoint_22 1686495529 4578918400,000
offline_datapoint_9 1686495529 7187599360,000
offline_datapoint_8 1686495527 1,000
offline_datapoint_14 1686495527 30,430
offline_datapoint_26 1686495527 10,436
offline_datapoint_15 1686495527 24578,878
offline_datapoint_20 1686495529 0,000
offline_datapoint_2 1686495527 20520,514
offline_datapoint_18 1686495527 1826,197
offline_datapoint_0 1686495527 2,828
offline_datapoint_19 1686495527 34,387
offline_datapoint_12 1686495527 97,059
offline_datapoint_1 1686495527 0,000
offline_datapoint_24 1686495527 17258,874
offline_datapoint_6 1686495527 0,028
offline_datapoint_13 1686495532 251767,000
offline_datapoint_7 1686495532 2795,000
offline_datapoint_28 1686495532 601300992,000
offline_datapoint_16 1686495532 484003840,000
offline_datapoint_5 1686495532 8698171392,000
offline_datapoint_11 1686495532 219402240,000
offline_datapoint_27 1686495532 9890,000
offline_datapoint_21 1686495530 5,335
offline_datapoint_10 1686495530 11723,080
offline_datapoint_23 1686495532 219402240,000
offline_datapoint_3 1686495530 5,335
offline_datapoint_22 1686495532 4596670464,000
offline_datapoint_9 1686495532 7207989248,000
offline_datapoint_8 1686495530 0,608
offline_datapoint_14 1686495530 8,560
offline_datapoint_26 1686495530 4,470
offline_datapoint_15 1686495530 11356,994
offline_datapoint_20 1686495532 0,000
offline_datapoint_2 1686495530 11987,808
offline_datapoint_18 1686495530 1197,280
offline_datapoint_0 1686495530 1,492
offline_datapoint_19 1686495530 9,336
offline_datapoint_12 1686495530 98,488
offline_datapoint_1 1686495530 1,000
offline_datapoint_24 1686495530 35547,429
offline_datapoint_6 1686495530 0,015
offline_datapoint_13 1686495535 251767,000
offline_datapoint_7 1686495535 2796,000
offline_datapoint_28 1686495535 601362432,000
