114 1686493242 0,000000 0,000000 -101,000000 0,000000 0,000000
114 1686493243 0,000000 0,000000 -101,000000 0,000000 0,000000
114 1686493244 0,000000 0,000000 -101,000000 0,000000 0,000000
114 1686493245 0,000000 0,000000 -101,000000 0,000000 0,000000
114 1686493246 4,000000 0,400000 1,600000 1,600000 -20,200000
114 1686493247 4,000000 0,400000 3,200000 3,200000 -20,200000
114 1686493248 4,000000 0,400000 4,800000 4,800000 -20,200000
114 1686493249 4,000000 0,400000 6,400000 6,400000 -20,200000
114 1686493250 4,000000 0,400000 8,000000 8,000000 -20,200000
114 1686493251 1,600000 1,000000 9,600000 9,600000 -20,200000
114 1686493252 1,600000 1,000000 11,200000 11,200000 -20,200000
114 1686493253 1,600000 1,000000 12,800000 12,800000 -20,200000
114 1686493254 1,600000 1,000000 14,400000 14,400000 -20,200000
114 1686493255 1,600000 1,000000 16,000000 16,000000 -20,200000
114 1686493256 0,600000 2,000000 17,200000 17,200000 -20,200000
114 1686493257 0,600000 2,000000 18,400000 18,400000 -20,200000
114 1686493258 0,600000 2,000000 19,600000 19,600000 -20,200000
114 1686493259 0,600000 2,000000 20,800000 20,800000 -20,200000
114 1686493260 0,600000 2,000000 22,000000 22,000000 -20,200000
114 1686493261 0,000000 3,800000 22,000000 22,000000 -20,200000
114 1686493262 0,000000 3,800000 22,000000 22,000000 -20,200000
114 1686493263 0,000000 3,800000 22,000000 22,000000 -20,200000
114 1686493264 0,000000 3,800000 22,000000 22,000000 -20,200000
114 1686493265 0,000000 3,800000 22,000000 22,000000 -20,200000
114 1686493266 0,166667 4,800000 22,800000 22,800000 -20,200000
114 1686493267 0,166667 4,800000 23,600000 23,600000 -20,200000
114 1686493268 0,166667 4,800000 24,400000 24,400000 -20,200000
114 1686493269 0,166667 4,800000 25,200000 25,200000 -20,200000
114 1686493270 0,166667 4,800000 26,000000 26,000000 -20,200000
114 1686493271 0,194444 7,200000 27,400000 27,400000 -20,200000
114 1686493272 0,194444 7,200000 28,800000 28,800000 -20,200000
114 1686493273 0,194444 7,200000 30,200000 30,200000 -20,200000
114 1686493274 0,194444 7,200000 31,600000 31,600000 -20,200000
114 1686493275 0,194444 7,200000 33,000000 33,000000 -20,200000
114 1686493276 -0,048780 8,200000 32,600000 32,600000 -20,200000
114 1686493277 -0,048780 8,200000 32,200000 32,200000 -20,200000
114 1686493278 -0,048780 8,200000 31,800000 31,800000 -20,200000
114 1686493279 -0,048780 8,200000 31,400000 31,400000 -20,200000
114 1686493280 -0,048780 8,200000 31,000000 31,000000 -20,200000
114 1686493281 -0,133333 9,000000 29,800000 29,800000 -20,200000
114 1686493282 -0,133333 9,000000 28,600000 28,600000 -20,200000
114 1686493283 -0,133333 9,000000 27,400000 27,400000 -20,200000
114 1686493284 -0,133333 9,000000 26,200000 26,200000 -20,200000
114 1686493285 -0,133333 9,000000 25,000000 25,000000 -20,200000
114 1686493286 -0,081633 9,800000 24,200000 24,200000 -20,200000
114 1686493287 -0,081633 9,800000 23,400000 23,400000 -20,200000
114 1686493288 -0,081633 9,800000 22,600000 22,600000 -20,200000
