99 1686493241 0,000232 0,400000 0,000175 0,000288 0,000000
96 1686493241 0,058426 0,400000 0,055697 0,061154 0,001368
99 1686493242 0,000232 0,400000 0,000175 0,000288 0,000000
96 1686493242 0,058426 0,400000 0,055697 0,061154 0,001368
96 1686493243 0,058426 0,400000 0,055697 0,061154 0,001368
99 1686493243 0,000232 0,400000 0,000175 0,000288 0,000000
99 1686493244 0,000232 0,400000 0,000175 0,000288 0,000000
96 1686493244 0,058426 0,400000 0,055697 0,061154 0,001368
99 1686493245 0,000232 0,400000 0,000175 0,000288 0,000000
96 1686493245 0,058426 0,400000 0,055697 0,061154 0,001368
102 1686493246 0,090023 0,400000 0,084580 0,095467 0,003254
99 1686493246 0,000177 0,200000 0,000177 0,000177 0,000000
96 1686493246 0,053950 0,200000 0,053950 0,053950 0,000582
102 1686493247 0,090023 0,400000 0,084580 0,095467 0,003254
99 1686493247 0,000177 0,200000 0,000177 0,000177 0,000000
96 1686493247 0,053950 0,200000 0,053950 0,053950 0,000582
102 1686493248 0,090023 0,400000 0,084580 0,095467 0,003254
96 1686493248 0,053950 0,200000 0,053950 0,053950 0,000582
99 1686493248 0,000177 0,200000 0,000177 0,000177 0,000000
102 1686493249 0,090023 0,400000 0,084580 0,095467 0,003254
99 1686493249 0,000177 0,200000 0,000177 0,000177 0,000000
96 1686493249 0,053950 0,200000 0,053950 0,053950 0,000582
102 1686493250 0,090023 0,400000 0,084580 0,095467 0,003254
99 1686493250 0,000177 0,200000 0,000177 0,000177 0,000000
96 1686493250 0,053950 0,200000 0,053950 0,053950 0,000582
102 1686493251 0,094693 0,200000 0,094693 0,094693 0,001793
99 1686493251 0,000293 0,400000 0,000181 0,000406 0,000000
96 1686493251 0,055725 0,400000 0,054936 0,056513 0,001242
117 1686493251 0,103864 0,400000 0,094871 0,112858 0,004347
102 1686493252 0,094693 0,200000 0,094693 0,094693 0,001793
99 1686493252 0,000293 0,400000 0,000181 0,000406 0,000000
96 1686493252 0,055725 0,400000 0,054936 0,056513 0,001242
