120 1686493251 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493252 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493253 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493254 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493255 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493266 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493267 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493268 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493269 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493270 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493271 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493272 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493273 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493274 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493275 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493291 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493292 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493293 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493294 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493295 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493331 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493332 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493333 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493334 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493335 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493371 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493372 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493373 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493374 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493375 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493406 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493407 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493408 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493409 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493410 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493411 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493412 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493413 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493414 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493415 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493446 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493447 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493448 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493449 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493450 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493456 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493457 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493458 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493459 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493460 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493486 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493487 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493488 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493489 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493490 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493491 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493492 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493493 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493494 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493495 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493496 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493497 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493498 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493499 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493500 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493531 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493532 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493533 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493534 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493535 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493546 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493547 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493548 0,200000 -1,000000 -101,000000 0,000000 0,000000
120 1686493549 0,200000 -1,000000 -101,000000 0,000000 0,000000
