399 1686495526 0,000532 0,400000 0,000442 0,000622 0,000000
396 1686495526 0,074166 0,400000 0,072229 0,076102 0,002202
399 1686495527 0,000532 0,400000 0,000442 0,000622 0,000000
396 1686495527 0,074166 0,400000 0,072229 0,076102 0,002202
399 1686495528 0,000532 0,400000 0,000442 0,000622 0,000000
396 1686495528 0,074166 0,400000 0,072229 0,076102 0,002202
399 1686495529 0,000532 0,400000 0,000442 0,000622 0,000000
396 1686495529 0,074166 0,400000 0,072229 0,076102 0,002202
399 1686495530 0,000532 0,400000 0,000442 0,000622 0,000000
396 1686495530 0,074166 0,400000 0,072229 0,076102 0,002202
402 1686495531 0,091444 0,400000 0,089886 0,093001 0,003346
399 1686495531 0,000243 0,400000 0,000238 0,000248 0,000000
396 1686495531 0,062387 0,200000 0,062387 0,062387 0,000778
402 1686495532 0,091444 0,400000 0,089886 0,093001 0,003346
399 1686495532 0,000243 0,400000 0,000238 0,000248 0,000000
396 1686495532 0,062387 0,200000 0,062387 0,062387 0,000778
402 1686495533 0,091444 0,400000 0,089886 0,093001 0,003346
399 1686495533 0,000243 0,400000 0,000238 0,000248 0,000000
396 1686495533 0,062387 0,200000 0,062387 0,062387 0,000778
402 1686495534 0,091444 0,400000 0,089886 0,093001 0,003346
399 1686495534 0,000243 0,400000 0,000238 0,000248 0,000000
396 1686495534 0,062387 0,200000 0,062387 0,062387 0,000778
402 1686495535 0,091444 0,400000 0,089886 0,093001 0,003346
399 1686495535 0,000243 0,400000 0,000238 0,000248 0,000000
396 1686495535 0,062387 0,200000 0,062387 0,062387 0,000778
402 1686495536 0,112887 0,200000 0,112887 0,112887 0,002549
399 1686495536 0,000269 0,200000 0,000269 0,000269 0,000000
396 1686495536 0,062670 0,400000 0,059229 0,066112 0,001576
419 1686495536 0,115229 0,400000 0,104423 0,126035 0,005358
402 1686495537 0,112887 0,200000 0,112887 0,112887 0,002549
399 1686495537 0,000269 0,200000 0,000269 0,000269 0,000000
