406 1686495531 4990,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495532 4990,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495533 4990,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495534 4990,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495535 4990,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495536 5635,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495537 5635,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495538 5635,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495539 5635,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495540 5635,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495541 10634,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495542 10634,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495543 10634,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495544 10634,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495545 10634,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495546 40419,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495547 40419,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495548 40419,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495549 40419,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495550 40419,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495551 12790,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495552 12790,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495553 12790,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495554 12790,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495555 12790,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495556 68543,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495557 68543,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495558 68543,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495559 68543,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495560 68543,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495561 63352,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495562 63352,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495563 63352,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495564 63352,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495565 63352,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495566 5392,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495567 5392,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495568 5392,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495569 5392,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495570 5392,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495571 5209,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495572 5209,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495573 5209,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495574 5209,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495575 5209,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495576 5217,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495577 5217,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495578 5217,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495579 5217,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495580 5217,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495581 5911,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495582 5911,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495583 5911,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495584 5911,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495585 5911,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495586 32476,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495587 32476,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495588 32476,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495589 32476,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495590 32476,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495591 4667,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495592 4667,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495593 4667,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495594 4667,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495595 4667,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495596 5433,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495597 5433,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495598 5433,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495599 5433,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495600 5433,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495601 73188,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495602 73188,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495603 73188,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495604 73188,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495605 73188,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495606 32274,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495607 32274,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495608 32274,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495609 32274,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495610 32274,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495611 3830,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495612 3830,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495613 3830,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495614 3830,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495615 3830,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495616 4675,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495617 4675,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495618 4675,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495619 4675,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495620 4675,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495621 8408,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495622 8408,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495623 8408,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495624 8408,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495625 8408,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495626 39979,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495627 39979,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495628 39979,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495629 39979,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495630 39979,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495631 4221,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495632 4221,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495633 4221,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495634 4221,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495635 4221,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495636 7135,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495637 7135,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495638 7135,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495639 7135,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495640 7135,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495641 40395,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495642 40395,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495643 40395,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495644 40395,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495645 40395,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495646 5175,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495647 5175,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495648 5175,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495649 5175,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495650 5175,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495651 43183,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495652 43183,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495653 43183,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495654 43183,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495655 43183,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495656 39557,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495657 39557,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495658 39557,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495659 39557,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495660 39557,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495661 4869,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495662 4869,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495663 4869,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495664 4869,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495665 4869,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495666 39727,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495667 39727,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495668 39727,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495669 39727,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495670 39727,800000 -1,000000 -101,000000 0,000000 0,000000
406 1686495671 1163,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495672 1163,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495673 1163,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495674 1163,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495675 1163,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495676 3308,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495677 3308,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495678 3308,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495679 3308,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495680 3308,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495681 33210,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495682 33210,200000 -1,000000 -101,000000 0,000000 0,000000
